n,rec_res,rec_time,tail_res,tail_time,iter_res,iter_time
10,10,6.179980118758976e-07,10,1.8690006982069463e-06,10,1.0109979484695941e-06
35,150,3.825000021606684e-06,150,4.110999725526199e-06,150,2.2950007405597717e-06
50,1145,7.452999852830544e-06,1145,2.7833000785904005e-05,1145,9.135001164395362e-06
